Stkcd,Stknme,Ppdadt,Annocont,Exdistdt,Price2,f,mktret_t,ret_t,ret_t30,Listdt,age,Price_ex,abret_t
2437,誉衡药业,2014/6/26,10股转增15股,2014/9/19,22.77,1.5,-0.016802,0.036891,0.0292,2010/6/23,5,9.108,0.053693
601377,兴业证券,2014/6/28,10股转增10股,2014/9/19,6.02,1,-0.016802,-0.024917,0.276,2010/10/13,5,3.01,-0.008115
600109,国金证券,2014/7/1,10股转增10股,2014/10/24,12.11,1,-0.00179,-0.055326,0.9353,1997/8/7,18,6.055,-0.053536
861,海印股份,2014/7/1,10股转增10股,2014/9/24,6.57,1,0.000263,0.048706,0.1567,1998/10/28,17,3.285,0.048443
300132,青松股份,2014/7/10,10股转增10股,2014/9/16,8.89,1,0.005764,-0.073116,-0.0328,2010/10/26,5,4.445,-0.07888
705,浙江震元,2014/7/17,10股转增10股,2014/8/27,9.39,1,-0.00758,-0.00426,0.1904,1997/4/10,18,4.695,0.00332
300134,大富科技,2014/7/25,10转增2股派5元(含税),2014/8/21,39.82,0.2,0.005437,-0.010547,0.1437,2010/10/26,5,33.18333333,-0.015984
600711,盛屯矿业,2014/7/30,10转增15股派0.5元(含税),2014/9/26,7.64,1.5,0.006472,-0.048429,-0.0413,1996/5/31,19,3.056,-0.054901
601099,太平洋,2014/8/5,10股转增5股,2014/10/9,6.69,0.5,-0.005331,-0.016442,0.1611,2007/12/28,8,4.46,-0.011111
600010,包钢股份,2014/8/7,10转增9.5送0.5股派0.125元(含税),2014/9/29,2.88,1,0.003823,-0.03125,0.0502,2001/3/9,14,1.44,-0.035073
2345,潮宏基,2014/8/13,10股转增10股,2014/9/26,9.38,1,0.006472,0.011727,-0.1159,2010/1/28,5,4.69,0.005255
2252,上海莱士,2014/8/16,10股转增10股,2014/9/25,34.82,1,0.001897,0.099943,0.2243,2008/6/23,7,17.41,0.098046
600792,云煤能源,2014/8/21,10转增10股,2014/10/29,6.34,1,0.005373,-0.012618,0.1629,1997/1/23,18,3.17,-0.017991
2201,九鼎新材,2014/8/25,10转增3股派0.15元(含税),2014/10/21,10.11,0.3,-0.007907,-0.094955,0.141,2007/12/26,8,7.776923077,-0.087048
300096,易联众,2014/8/25,10股转增15股,2014/9/25,14.41,1.5,0.001897,0.017349,-0.1644,2010/7/28,5,5.764,0.015452
